bill_no,period_from,period_to,index_ref_date,fixed_proportion,fuel_o,fuel_n,bitumen_o,bitumen_n,steel_o,steel_n,cement_o,cement_n,equipment_o,equipment_n,labour_o,labour_n,metal_o,metal_n,adjustment_factor_pn,ipc_amount,amount_after_adjustment,adjustment_amount,fuel_ret_pct,bitumen_ret_pct,steel_ret_pct,cement_ret_pct,equipment_ret_pct,labour_ret_pct,metal_ret_pct,adjustment_pct_of_ipc
11,2021-05-01,2021-06-30,2021-05-12,0.2,224.9,240.4,298,339.3,239,332.6,252.3,271.3,219.3,243.4,209.6,209.6,239,332.6,1.1118750721423276,4175499.3000886,4642633.585516251,467134.2854276509,6.891951978657174,13.859060402684564,39.16317991631799,7.530717399920728,10.98951208390333,0.0,39.16317991631799,11.18750721423277
12,2021-07-01,2021-07-31,2021-06-12,0.2,224.9,244.2,298,352.1,239,354.9,252.3,271.5,219.3,246.9,209.6,209.6,239,354.9,1.1378263898502585,2720601.001537119,3095571.615801978,374970.6142648589,8.58159181858602,18.154362416107396,48.49372384937239,7.609988109393573,12.585499316005478,0.0,48.49372384937239,13.782638985025859
13,2021-08-01,2021-08-31,2021-07-13,0.2,224.9,256.633,298,353.669,239,382.821,252.3,272.591,219.3,247.682,209.6,209.6,239,382.821,1.1627202957903213,3223042.0351038603,3747496.3884006,524454.3532967395,14.109826589595365,18.680872483221478,60.17615062761508,8.042409829567966,12.94208846329228,0.0,60.17615062761508,16.27202957903214
14,2021-09-01,2021-09-30,2021-08-12,0.2,224.9,251.608,298,329.882,239,395.232,252.3,274.436,219.3,248.835,209.6,209.6,239,395.232,1.1535679065255553,2910956.059563068,3357985.487618048,447029.42805498,11.875500222321023,10.698657718120796,65.36903765690379,8.773682124454997,13.467852257181946,0.0,65.36903765690379,15.35679065255553
15,2021-10-01,2021-10-31,2021-09-12,0.2,224.9,257.07,298,338.217,239,405.663,252.3,274.966,219.3,249.86,209.6,209.6,239,405.663,1.1688146175665632,2850124.9553581825,3331267.709713892,481142.75435570953,14.304135171187182,13.495637583892606,69.73347280334727,8.98374950455807,13.935248518011868,0.0,69.73347280334727,16.881461756656318
16,2021-11-01,2021-11-30,2021-10-12,0.2,224.9,278.8,298,342.458,239,417.852,252.3,275.266,219.3,257.313,209.6,209.6,239,417.852,1.1924904451992926,1975258.6489033748,2355477.0656145387,380218.41671116394,23.966207203201417,14.91879194630874,74.83347280334726,9.102655568767348,17.333789329685345,0.0,74.83347280334726,19.249044519929267
17,2021-12-01,2021-12-31,2021-11-12,0.2,224.9,278.69,298,376.741,239,433.525,252.3,273.936,219.3,258.281,209.6,209.6,239,433.525,1.2252011245339927,2211569.769401897,2709617.768456587,498047.9990546899,23.91729657625612,26.423154362416113,81.39121338912132,8.575505350772872,17.775193798449607,0.0,81.39121338912132,22.520112453399257
18,2022-01-01,2022-01-31,2021-12-13,0.2,224.9,259.6,298,408.154,239,433.252,252.3,274.404,219.3,260.38,209.6,209.6,239,433.252,1.2387667487751783,2312683.3392678895,2864875.2211314063,552191.8818635168,15.429079590929318,36.964429530201336,81.27698744769876,8.760998810939347,18.732330141358865,0.0,81.27698744769876,23.876674877517836
19,2022-02-01,2022-02-28,2022-01-10,0.2,224.9,275.116,298,404.808,239,423.397,252.3,283.858,219.3,261.208,209.6,209.6,239,423.397,1.2413597224157003,1570684.331995024,1949784.2663680327,379099.93437300855,22.328145842596705,35.84161073825503,77.15355648535565,12.508125247720958,19.10989512083905,0.0,77.15355648535565,24.135972241570023
20,2022-03-01,2022-04-30,2022-03-12,0.2,224.9,364.665,298,460.651,239,397.639,252.3,285.605,219.3,263.433,209.6,209.6,239,397.639,1.3041964107615824,2149815.314711186,2803781.417246611,653966.1025354248,62.14539795464651,54.580872483221476,66.37615062761506,13.20055489496632,20.124487004103962,0.0,66.37615062761506,30.41964107615825
