bill_no,period_from,period_to,index_ref_date,fixed_proportion,fuel_o,fuel_n,bitumen_o,bitumen_n,steel_o,steel_n,cement_o,cement_n,equipment_o,equipment_n,labour_o,labour_n,metal_o,metal_n,adjustment_factor_pn,ipc_amount,amount_after_adjustment,adjustment_amount,fuel_ret_pct,bitumen_ret_pct,steel_ret_pct,cement_ret_pct,equipment_ret_pct,labour_ret_pct,metal_ret_pct,adjustment_pct_of_ipc
12,2021-07-01,2021-07-31,2021-06-12,0.2,126.82,126.64,101.42,107.54,120.03,131.97,105.53,91.97,99.72,99.91,103.34,107.57,109.77,112.39,1.0127682906583582,2524708743.6165404,2556944958.6827345,32236215.066194057,-0.14193344898280058,6.034312758824689,9.947513121719576,-12.84942670330712,0.19053349378259643,4.0932843042384315,2.3868087819987283,1.2768290658358088
13,2021-08-01,2021-08-31,2021-07-13,0.2,126.82,135.03,101.42,107.52,120.03,132.81,105.53,91.27,99.72,100.16,103.34,108.39,109.77,112.16,1.0202625392417268,985149690.6606197,1005111324.9266056,19961634.265985847,6.47374231193818,6.014592782488659,10.647338165458642,-13.512745190940967,0.4412354592860046,4.8867814979678625,2.1772797667851007,2.026253924172682
14,2021-09-01,2021-09-30,2021-08-12,0.2,126.82,135.66,101.42,108.8,120.03,132.45,105.53,91.32,99.72,100.34,103.34,108.45,109.77,112.6,1.023849315353412,1640261321.22504,1679380430.7369401,39119109.51190019,6.970509383378021,7.276671267994472,10.347413146713302,-13.465365298967125,0.621740874448462,4.944842268240768,2.578117882845943,2.3849315353411993
15,2021-10-01,2021-10-31,2021-09-12,0.2,126.82,136.04,101.42,108.9,120.03,133.01,105.53,92.25,99.72,100.49,103.34,108.68,109.77,112.73,1.0260633934550043,525234621.7845602,538924018.3883215,13689396.603761315,7.270146664563959,7.375271149674623,10.813963175872686,-12.584099308253583,0.7721620537505025,5.167408554286834,2.696547326227572,2.6063393455004205
16,2021-11-01,2021-11-30,2021-10-12,0.2,126.82,134.92,101.42,109.95,120.03,132.44,105.53,92.41,99.72,100.62,103.34,108.18,109.77,113.03,1.0268429286335727,1831773275.1523561,1880943434.4501567,49170159.29780054,6.387005204226459,8.410569907316102,10.339081896192614,-12.432483653937275,0.9025270758122872,4.683568802012772,2.9698460417236117,2.684292863357276
17,2021-12-01,2021-12-31,2021-11-12,0.2,126.82,139.75,101.42,109.93,120.03,133.37,105.53,92.7,99.72,100.59,103.34,108.53,109.77,114.86,1.0334193124198203,2032129604.090826,2100041978.207503,67912374.11667705,10.195552751931869,8.390849930980092,11.113888194618005,-12.157680280488957,0.8724428399518702,5.022256628604604,4.636968206249437,3.3419312419820297
18,2022-01-01,2022-01-31,2021-12-13,0.2,126.82,140.43,101.42,110.45,120.03,134.1,105.53,92.73,99.72,100.99,103.34,108.69,109.77,115.89,1.036885154613741,2135803209.025616,2214582640.61505,78779431.58943391,10.731745781422507,8.90356931571683,11.722069482629326,-12.129252345304653,1.2735659847573189,5.1770853493323,5.575293796119163,3.6885154613740943
19,2022-02-01,2022-02-28,2022-01-10,0.2,126.82,146.07,101.42,109.8,120.03,134.96,105.53,93.26,99.72,100.97,103.34,108.92,109.77,115.42,1.0407967001315586,1455645589.901624,1515031126.530666,59385536.62904215,15.178993849550547,8.262670084795886,12.438557027409814,-11.627025490381882,1.2535098275170409,5.399651635378366,5.147125808508712,4.079670013155852
20,2022-03-01,2022-04-30,2022-03-12,0.2,126.82,152.48,101.42,111.74,120.03,141.42,105.53,96.31,99.72,100.97,103.34,109.44,109.77,116.3,1.0568144169371192,1896125024.3955555,2003852262.0964699,107727237.70091438,20.233401671660612,10.175507789390647,17.820544863784036,-8.736852079977254,1.2535098275170409,5.90284497774336,5.948802040630419,5.6814416937119185
21,2022-05-01,2022-05-31,2022-04-12,0.2,126.82,164.43,101.42,112.47,120.03,148.26,105.53,101.72,99.72,101.18,103.34,109.93,109.77,119.92,1.0798722097606213,1322429748.1110835,1428055134.3458974,105625386.23481393,29.656205645797208,10.89528692565569,23.519120219945002,-3.610347768407085,1.4640994785399153,6.377007934971934,9.246606540949266,7.987220976062121
22,2022-06-01,2022-07-31,2022-06-12,0.2,126.82,178.93,101.42,113.08,120.03,150.09,105.53,105.96,99.72,101.3,103.34,110.32,109.77,119.14,1.0972646332071843,2461084089.7306995,2700460531.010393,239376441.2796936,41.089733480523584,11.49674620390455,25.043739065233694,0.40746707097507606,1.5844364219815388,6.754402941745674,8.536029880659557,9.726463320718432
23,2022-08-01,2022-08-31,2022-07-13,0.2,126.82,188.09,101.42,114.81,120.03,150.09,105.53,104.64,99.72,101.3,103.34,110.52,109.77,120.55,1.1082230032943066,1707525190.0,1892318694.2624815,184793504.26248145,48.312568995426595,13.202524156971007,25.043739065233694,-0.8433620771344685,1.5844364219815388,6.947938842655299,9.820533843490932,10.822300329430657
